#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2024 Jan 13 23:14:18
A00019	NNA	1959 NU	C  YD       	Despin weight	-	1959 Mar  3	S00113	1959 Mar  3 1632	Earth	1959 Mar  3 1654	DSO	D00005	JPL	US	JPL	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    1.5 	 	Disk + Cable	1959 Mar  3	     -45	 	 -393400	 	 29.00 	 	EEO	-	-
A00020	NNA	1959 NU	C  YD       	Despin weight	-	1959 Mar  3	S00113	1959 Mar  3 1632	Earth	1959 Mar  3 1654	DSO	D00006	JPL	US	JPL	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    1.5 	 	Disk + Cable	1959 Mar  3	     -45	 	 -393400	 	 29.00 	 	EEO	-	-
A00021	00014	1959 GAM	R2          	Agena A 1018	Agena A	1959 Apr 13	R02842	1959 Apr 13 2126	Earth	1959 Apr 26	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	?	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1959 Apr 13	     239	 	     346	 	 89.90 	 	LLEO/P	-	-
A00022	NNA R	1959 GAM	C  MR       	Star 10	Star 10	1959 Apr 13	A00023	1959 Apr 15 0004?	Earth	1959 Apr 15 0014?	D	-	ARPA/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1959 Apr 14	    -235	?	     404	?	 89.90 	 	SO	-	-
A00023	NNA T	1959 GAM	PX-RT--     	SRV	SRV	1959 Apr 13	S00014	1959 Apr 15 0004?	Earth	1959 Apr 15 0030?	L	Spitzbergen	ARPA/CIA	US	GEMSD	SRV Mk I	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1959 Apr 14	     239	 	     346	 	 89.90 	 	LLEO/P	-	-
A00024	NNA S	1959 DEL	R2  S       	Able III	AJ10-101A	1959 Aug  7	R03068	1959 Aug  7 1427	Earth	1959 Aug  7 1502?	S	-	USAF	US	AJGC	Able	-	     429 	 	    429 	 	     429 	 	   5.0 	 	  0.8 	 	    5.0 	 	-	1959 Aug  7	   -1597	 	     965	 	 46.90 	 	SO	U	-
A00025	00015	1959 DEL	C AM        	1-KS-420	ARC 420	1959 Aug  7	S00015	1959 Aug  7 1430	Earth	1961 Jul  1?	AR	-	GSFC	US	ARC	1-KS-420	-	       2 	?	      2 	?	       0 	?	   0.1 	 	  0.1 	 	    0.1 	 	Cone	1959 Sep  8	     250	 	   42327	 	 46.95 	 	HEO	-	-
A00026	NNA	1959 DEL	C  A        	Clamp band half	-	1959 Aug  7	S00015	1959 Aug  7 1430	Earth	1961 Jun?	R	-	GSFC	US	TRW	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.2 	?	Half Cyl	1959 Sep  8	     250	 	   42327	 	 46.95 	 	HEO	-	-
A00027	NNA	1959 DEL	C  A        	Clamp band half	-	1959 Aug  7	S00015	1959 Aug  7 1430	Earth	1961 Jun?	R	-	GSFC	US	TRW	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.2 	?	Half Cyl	1959 Sep  8	     250	 	   42327	 	 46.95 	 	HEO	-	-
A00028	00018	1959 EPS 1	R2          	Agena A 1029	Agena A	1959 Aug 13	R03080	1959 Aug 13 1906	Earth	1959 Sep 28	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1959 Aug 14	     215	 	     732	 	 80.00 	 	LLEO/I	-	-
A00029	NNA	1959 EPS	C  M        	Star 10	Star 10	1959 Aug 13	S00026	1959 Aug 14 2142	Earth	1961 Feb?	R	-	ARPA/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1960 Feb 15	     218	 	    1700	 	 78.90 	 	LEO/I	-	-
A00030	00019	1959 ZET	R2          	Agena A 1028	Agena A	1959 Aug 19	R03097	1959 Aug 19 1931	Earth	1959 Oct 20	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1959 Aug 20	     207	 	     846	 	 84.00 	 	LLEO/I	-	-
A00031	NNA R	1959 ZET	C  MR       	Star 10	Star 10	1959 Aug 19	A00032	1959 Aug 20 2227	Earth	1959 Aug 20 2232?	D	-	ARPA/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1959 Aug 20	      10	?	     580	?	 84.00 	 	TA	-	-
A00032	NNA T	1959 ZET	PX-RT--     	SRV 105	SRV	1959 Aug 19	S00019	1959 Aug 20 2227	Earth	1959 Aug 20 2239?	L	25N 167W?	ARPA/CIA	US	GEMSD	SRV Mk IIA	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1959 Aug 20	     207	 	     846	 	 84.00 	 	LLEO/I	-	-
A00033	NNA	1959 XI	R3  D       	Vostok 8K72 No. 7B Stage 3	8K72E No. I1-7B	1959 Sep 12	R03161	1959 Sep 12 0651?	Earth	1959 Sep 12 1815	DSO	D00008	NII88	SU	OKB1	Blok-E	-	    1511 	 	   1511 	 	    1511 	 	   5.0 	 	  2.7 	 	    5.0 	 	Cyl	1959 Sep 12	    -371	 	 -354774	 	 65.00 	 	EEO	-	-
A00034	00020	1959 ETA	R3          	Vanguard SLV-7 Stage 3	X-248-A2 SV-59	1959 Sep 18	R03185	1959 Sep 18 0529	Earth	-	O	-	GSFC	US	HERC/ABL	Altair	-	      24 	 	     24 	 	       0 	 	   1.5 	 	  0.5 	 	    1.5 	 	Cyl	1989 Mar 31	     513	 	    3506	 	 33.30 	 	MEO	-	-
A00035	NNA	1959 THE	R3  D       	Vostok 8K72 No. 8 Stage 3	8K72E No. I1-8	1959 Oct  4	R03232	1959 Oct  4 0055?	Earth	1959 Oct  4 1504	DSO	D00010	NII88	SU	OKB1	Blok-E	-	    1553 	 	   1553 	 	    1553 	 	   5.0 	 	  2.7 	 	    5.0 	 	Cyl	1959 Oct  5	     500	 	  500000	 	 55.00 	 	CLO	-	-
A00036	00024	1959 KAP	R2          	Agena A 1051	Agena A	1959 Nov  7	R03336	1959 Nov  7 2035	Earth	1959 Nov 26	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1959 Nov  8	     158	 	     821	 	 81.64 	 	LLEO/I	-	-
A00037	00024	1959 KAP	C AM        	Star 10	Star 10	1959 Nov  7	A00038	1959 Nov  7 2035	Earth	1959 Nov 26	AR	-	ARPA/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1959 Nov  8	     158	 	     821	 	 81.64 	 	LLEO/I	-	-
A00038	00024	1959 KAP	PXAR---     	SRV 109	SRV	1959 Nov  7	S00024	1959 Nov  7 2035	Earth	1959 Nov 26	AR	-	ARPA/CIA	US	GEMSD	SRV Mk IIA	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1959 Nov  8	     158	 	     821	 	 81.64 	 	LLEO/I	-	-
A00039	00025	1959 LAM	R2-----*    	Agena A 1050	Agena A	1959 Nov 20	R03368	1959 Nov 20 1931	Earth	1960 Mar  8	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1959 Nov 20	     190	 	    1658	 	 80.60 	 	LEO/I	-	-
A00040	NNA R	1959 LAM	C  MR       	Star 10	Star 10	1959 Nov 20	A00041	1959 Nov 21 2120	Earth	1959 Nov 21 2127?	D	-	ARPA/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1959 Nov 21	     -14	?	    1391	 	 80.60 	 	SO	-	-
A00041	NNA T	1959 LAM	PX-RT--     	SRV 107	SRV	1959 Nov 20	S00025	1959 Nov 21 2120	Earth	1959 Nov 21 2143?	L	25N 150W?	ARPA/CIA	US	GEMSD	SRV Mk IIA	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1959 Nov 21	     190	 	    1658	 	 80.60 	 	LEO/I	-	-
A00042	NNA	1960 ALP	R3  D       	Thor Able IV Stage 3"	Altair SV 67	1960 Mar 11	R03599	1960 Mar 11 1305	Earth	1960 Mar 11 2300	DSO	D00012	AFBMD	US	ABL	Altair	-	      24 	 	     24 	 	      24 	 	   1.7 	 	  0.5 	 	    1.7 	 	Cyl	1960 Mar 11	    -455	 	 -142121	 	 24.60 	 	EEO	-	JATO X-248A7 SV 67
A00043	NNA	1960 GAM	C  Y        	Transit 1B despin weight	Despin weight	1960 Apr 13	S00031	1960 Apr 13 1240?	Earth	-	O	-	BUWEPS	US	APL	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.0 	 	-	1960 May 26	     373	 	     737	 	 51.28 	 	LLEO/I	-	-
A00044	NNA	1960-U01	R3--D--*    	Vostok 8K72 No. 9 Stage 3	8K72E No. L1-9	1960 Apr 15	R03663	1960 Apr 15 1518	Earth	1960 Apr 16 0930?	DSO	D00013	RVSN	SU	OKB1	Blok-E	-	    1500 	 	   1500 	 	    1780 	?	   5.0 	 	  2.7 	 	    5.0 	 	Cyl	1960 Apr 15	      50	?	  200000	?	 65.00 	?	TA	-	-
A00045	NNA	1960-U01	PX--D--     	AMS	E-3 No. 1	1960 Apr 15	A00044	1960 Apr 15 1519	Earth	1960 Apr 16 0930?	DSO	D00014	NII88	SU	OKB1	E-3	-	     280 	?	    280 	?	     280 	?	   1.3 	 	  1.2 	 	    1.5 	 	Ell	1960 Apr 15	      50	?	  200000	?	 65.00 	?	TA	-	-
A00046	00032	1960 DEL	R2          	Agena A 1055	Agena A	1960 Apr 15	R03665	1960 Apr 15 2036	Earth	1960 Apr 26	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1960 Apr 18	     169	 	     546	 	 80.01 	 	LLEO/I	-	-
A00047	00032	1960 DEL	PXA         	TOD-3	Transit-On-Discoverer	1960 Apr 15	A00046	1960 Apr 15 2036	Earth	1960 Apr 26	AR	-	AFBMD	US	APL	ARPL?	-	       5 	?	      5 	?	       0 	 	   0.5 	?	  0.5 	?	    0.5 	?	Box	1960 Apr 18	     169	 	     546	 	 80.01 	 	LLEO/I	-	-
A00048	NNA R	1960 DEL	C  MR       	Star 10	Star 10	1960 Apr 15	A00049	1960 Apr 16 2236?	Earth	1960 Apr 16 2243?	D	30N 145W?	AFBMD/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1960 Apr 16	    -130	?	     460	?	 80.41 	 	SO	-	-
A00049	NNA T	1960 DEL	PX-RT--     	SRV 103	SRV	1960 Apr 15	S00032	1960 Apr 16 2236?	Earth	1960 Apr 16 2245?	R	30N 145W?	AFBMD/CIA	US	GEMSD	SRV Mk IIA	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1960 Apr 16	     166	 	     603	 	 80.41 	 	LLEO/I	-	-
A00050	00043	1960 ZET 1	R2          	Agena A 1007	Agena A	1960 May 24	R03733	1960 May 24 1748	Earth	1974 Feb  7	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1960 Jun 26	     482	 	     514	 	 33.00 	 	LLEO/I	-	-
A00051	00048	1960 THE	R2          	Agena A 1057	Agena A	1960 Aug 10	R03987	1960 Aug 10 2045	Earth	1960 Nov 14	R	-	AFBMD	US	LMSD	Agena A	-	     572 	 	    556 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1960 Aug 10	     252	 	     688	 	 82.90 	 	LLEO/I	-	-
A00052	NNA R	1960 THE	C  MR       	Star 10	Star 10	1960 Aug 10	A00053	1960 Aug 11 2313	Earth	1960 Aug 11 2322	D	-	AFBMD/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1960 Aug 11	    -206	 	     514	 	 82.90 	 	SO	-	-
A00053	NNA T	1960 THE	PX-RT--     	SRV (GRD)	SRV	1960 Aug 10	S00048	1960 Aug 11 2313	Earth	1960 Aug 11 2352?	L	25.6N 161.6W	AFBMD/CIA	US	GEMSD	SRV Mk IID	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1960 Aug 11	     252	 	     688	 	 82.90 	 	LLEO/I	-	-
A00054	00054	1960 KAP	R2          	Agena A 1056	Agena A	1960 Aug 18	R04016	1960 Aug 18 2003	Earth	1960 Sep 16	R	-	AFBMD	US	LMSD	Agena A	-	     602 	 	    585 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1960 Aug 18	     178	 	     809	 	 79.70 	 	LLEO/I	-	-
A00055	00054	1960 KAP	PXA         	TOD-4	Transit-On-Discoverer	1960 Aug 18	A00054	1960 Aug 18 2003	Earth	1960 Sep 16	AR	-	AFBMD	US	APL	ARPL?	-	       5 	?	      5 	?	       0 	 	   0.5 	?	  0.5 	?	    0.5 	?	Box	1960 Aug 18	     178	 	     809	 	 79.70 	 	LLEO/I	-	-
A00056	NNA R	1960 KAP	C  MR       	Star 10	Star 10	1960 Aug 18	A00057	1960 Aug 19 2243	Earth	1960 Aug 19 2248?	D	-	AFBMD/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1960 Aug 19	    -300	?	     178	 	 79.70 	 	SO	-	-
A00057	NNA T	1960 KAP	PX-RT--     	SRV 101	SRV	1960 Aug 18	S00054	1960 Aug 19 2243	Earth	1960 Aug 19 2309	L	17 06N 162 21W	AFBMD/CIA	US	GEMSD	SRV MkIIA	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1960 Aug 19	     178	 	     804	 	 79.70 	 	LLEO/I	-	-
A00058	NNA R	1960 LAM	C  MR       	Priborniy otsek	PO	1960 Aug 19	S00055	1960 Aug 20 0732	Earth	1960 Aug 20 0757	D	-	NII88	SU	OKB1	Vostok PO	-	    2600 	 	   2600 	 	       0 	 	   2.5 	 	  2.7 	 	    2.5 	 	DCone	1960 Aug 20	    -126	 	     297	 	 65.00 	 	SO	-	-
A00059	00057	1960 MU	R2          	Agena A 1058	Agena A	1960 Sep 13	R04076	1960 Sep 13 2220	Earth	1960 Oct 18	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1960 Sep 13	     200	 	     756	 	 80.90 	 	LLEO/I	-	-
A00060	00057	1960 MU	PXA         	Discoverer Optical Beacon	SAO Optical Tracking	1960 Sep 13	A00059	1960 Sep 13 2220	Earth	1960 Oct 18	AR	-	AFBMD	US	APL/SAO?	ARPL?	-	       2 	?	      2 	?	       0 	 	   0.5 	?	  0.5 	?	    0.5 	?	Box	1960 Sep 13	     200	 	     756	 	 80.90 	 	LLEO/I	-	-
A00061	NNA R	1960 MU	C  MR       	Star 10	Star 10	1960 Sep 13	A00062	1960 Sep 15 0054?	Earth	1960 Sep 15 0100?	D	-	AFBMD/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1960 Sep 15	    -300	?	     240	?	 80.90 	 	SO	-	-
A00062	NNA T	1960 MU	PX-RT--     	SRV 106	SRV	1960 Sep 13	S00057	1960 Sep 15 0054?	Earth	1960 Sep 15 0120?	L	08 10N 159 14W	AFBMD/CIA	US	GEMSD	SRV Mk IIA	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1960 Sep 15	     200	 	     750	 	 80.90 	 	LLEO/I	-	-
A00063	NNA S	1960-U02	PX--O--     	Blue Scout D-1	HETS	1960 Sep 21	A00064	1960 Sep 21 1304	Earth	1960 Sep 21 1900?	S	AO 77W 14S?	AFBMD	US	-	-	-	      13 	 	     13 	 	      23 	 	   0.5 	?	  0.4 	 	    0.5 	?	Cyl	1960 Sep 21	   -5040	 	   26709	 	 30.00 	?	SO	-	-
A00064	NNA S	1960-U02	R4--O--     	Blue Scout D-1 Stage 4	Cetus NOTS-100	1960 Sep 21	R04097	1960 Sep 21 1304	Earth	1960 Sep 21 1900?	S	AO	AFBMD	US	NOTS?	Cetus	NOTS-100	      10 	 	     10 	 	       0 	 	   0.5 	 	  0.4 	 	    0.5 	 	Cyl	1960 Sep 21	   -5040	 	   26709	 	 30.00 	?	SO	-	-
A00065	NNA A	1960-U03	PXA-O--     	ST-2	ST-2	1960 Oct  4	A00066	1960 Oct  4 1525?	Earth	1960 Oct  4 1643?	AS	AO	LARCN	US	-	-	-	      57 	 	     57 	 	      81 	 	   1.2 	?	  0.5 	?	    1.2 	?	Step Cyl	1960 Oct  4	   -4400	 	    5630	 	 38.00 	?	SO	-	-
A00066	NNA S	1960-U03	R4--O--     	Scout ST-2 Stage 4	Altair X-248 SV-93	1960 Oct  4	R04158	1960 Oct  4 1525?	Earth	1960 Oct  4 1643?	S	AO	LARCN	US	ABL	Altair	-	      24 	 	     24 	 	       0 	 	   1.5 	 	  0.5 	 	    1.5 	 	Cyl	1960 Oct  4	   -4400	 	    5630	 	 38.00 	?	SO	-	-
A00067	00061	1960 OMI	R2          	Agena B 1062	Agena B	1960 Nov 12	R04271	1960 Nov 12 2050	Earth	1960 Dec 29	R	-	AFBMD	US	LMSD	Agena B	-	     730 	 	    720 	 	       0 	 	   6.3 	 	  1.5 	 	    6.3 	 	Cyl	1960 Nov 20	     182	 	     981	 	 81.86 	 	LLEO/I	-	-
A00068	00061	1960 OMI	PXA         	TOD-6	Transit-On-Discoverer	1960 Nov 12	A00067	1960 Nov 12 2050	Earth	1960 Dec 29	AR	-	AFBMD	US	APL	ARPL?	-	       5 	?	      5 	?	       0 	 	   0.5 	?	  0.5 	?	    0.5 	?	Box	1960 Nov 20	     182	 	     981	 	 81.86 	 	LLEO/I	-	-
A00069	NNA R	1960 OMI	C  MR       	Star 12	Star 12	1960 Nov 12	A00070	1960 Nov 14 2227?	Earth	1960 Nov 14 2232?	D	-	AFBMD/CIA	US	THKE	Star 12	-	      33 	 	     10 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1960 Nov 20	    -300	?	     240	?	 81.86 	 	SO	-	-
A00070	NNA T	1960 OMI	PX-RT--     	SRV 507	SRV	1960 Nov 12	S00061	1960 Nov 14 2227?	Earth	1960 Nov 14 2239	L	30N 151W?	AFBMD/CIA	US	GEMSD	SRV	Star 12	     157 	 	    157 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1960 Nov 20	     182	 	     981	 	 81.86 	 	LLEO/I	-	-
A00071	NNA R	1960 RHO	C  MR       	Priborniy otsek	PO	1960 Dec  1	S00065	1960 Dec  2 0840?	Earth	1960 Dec  2	D	-	NII88	SU	OKB1	Vostok PO	-	    2600 	 	   2600 	 	       0 	 	   2.5 	 	  2.7 	 	    2.5 	 	DCone	1960 Dec  2	    -235	 	     166	 	 65.00 	 	SO	-	-
A00072	00067	1960 SIG	R2          	Agena B 1103	Agena B	1960 Dec  7	R04361	1960 Dec  7 2029	Earth	1961 Apr  2	R	-	AFBMD	US	LMSD	Agena B	-	     730 	 	    720 	 	       0 	 	   6.3 	 	  1.5 	 	    6.3 	 	Cyl	1960 Dec  8	     241	 	     665	 	 81.50 	 	LLEO/I	-	-
A00073	00067	1960 SIG	PXA         	TOD-7	Transit-On-Discoverer	1960 Dec  7	A00072	1960 Dec  7 2029	Earth	1961 Apr  2	AR	-	AFBMD	US	APL	ARPL?	-	       5 	?	      5 	?	       0 	 	   0.5 	?	  0.5 	?	    0.5 	?	Box	1960 Dec  8	     241	 	     665	 	 81.50 	 	LLEO/I	-	-
