#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2024 Jan 13 23:14:18
F00046	NSO	1958-F18	C  MF       	2 lb Motor	2 lb Motor	1958 Oct 23	F00047	1958 Oct 23 0322	Earth	1958 Oct 23	AS	-	JPL	US	JPL	2 lb Motor	-	       1 	 	      0 	 	       0 	 	   0.3 	 	  0.1 	 	    0.3 	 	Cyl	1958 Oct 23	   -6300	?	     100	?	 50.00 	?	SO	-	-
F00047	NSO	1958-F18	C   F       	Beacon container	Beacon container	1958 Oct 23	F00045	1958 Oct 23 0322	Earth	1958 Oct 23	AS	-	LARCN	US	LARCN	Sphere container	-	      18 	 	     18 	 	       0 	 	   1.0 	 	  0.2 	 	    1.0 	 	Cyl	1958 Oct 23	   -6300	?	     100	?	 50.00 	?	SO	-	-
F00048	NSO	1958-F18	P   F       	Beacon	12-foot sphere	1958 Oct 23	F00047	1958 Oct 23 0322	Earth	1958 Oct 23	AS	-	LARCN	US	LARCN	LaRC 12' sphere	-	      14 	 	     14 	 	      14 	 	   0.5 	 	  0.1 	 	    3.7 	 	Cyl	1958 Oct 23	   -6300	?	     100	?	 50.00 	?	SO	-	DEAL III
F00049	NSO	1958-F18	C   F       	Nose Cone	Deal III Nose Cone	1958 Oct 23	F00047	1958 Oct 23 0322	Earth	1958 Oct 23	AS	-	JPL	US	JPL	-	-	       1 	 	      1 	 	       0 	 	   0.1 	 	  0.1 	 	    0.1 	 	Cone	1958 Oct 23	   -6300	?	     100	?	 50.00 	?	SO	-	-
F00050	NSO	1958-F19	R3--F--*    	Thor Able I Stage 3	Altair X-248-A3	1958 Nov  8	R02587	1958 Nov  8 0734	Earth	1958 Nov  8	S	-	AFBMD	US	ABL	Altair	-	      24 	 	     24 	 	      24 	 	   1.5 	 	  0.5 	 	    1.5 	 	Cyl	1958 Nov  7	   -2483	 	    1550	 	 32.12 	 	SO	-	-
F00051	NSO	1958-F19	P   F       	Pioneer II	Able III	1958 Nov  8	F00050	1958 Nov  8 0737	Earth	1958 Nov  8	S	-	NASAHQ/AFBMD	US	TRW	Able I Pioneer	TX-8 Falcon	      22 	 	     22 	 	      38 	 	   0.7 	 	  0.7 	 	    1.0 	 	DCone	1958 Nov  7	   -2483	 	    1550	 	 32.12 	 	SO	-	:UA,:UC
F00052	NSO	1958-F19	C  MF       	TX-8 Falcon	TX-8 Falcon	1958 Nov  8	F00051	1958 Nov  8 0737	Earth	1958 Nov  8	AS	-	AFBMD	US	THKX	TX-8	-	      16 	 	      5 	 	       0 	 	   0.2 	 	  0.2 	 	    0.2 	 	Cone	1958 Nov  7	   -2483	 	    1550	 	 32.12 	 	SO	-	-
F00053	NSO	1958-F20	R3  F       	Vostok 8K72 No. 5 Stage 3	8K72E No. B1-5	1958 Dec  4	R02650	1958 Dec  4 1822	Earth	1958 Dec  4	S	-	OKB1	SU	OKB1	Blok-E	-	    1279 	 	   1279 	 	    1279 	 	   5.0 	 	  2.7 	 	    5.0 	 	Cyl	1958 Dec  4	   -6370	?	     100	?	 65.00 	?	SO	-	-
F00054	NSO	1958-F20	P   F       	AMS	E-1 No. 3	1958 Dec  4	F00053	1958 Dec  4 1822	Earth	1958 Dec  4	AS	-	NII88	SU	OKB1	E-1	-	     170 	 	    170 	 	     170 	 	   0.8 	 	  0.8 	 	    2.0 	 	Sphere + Ant	1958 Dec  4	   -6370	?	     100	?	 65.00 	?	SO	-	-
F00055	NSO	1959-F01	R3  F       	Vanguard SLV-5 Stage 3	GRC 33-KS-2800	1959 Apr 14	L05870	1959 Apr 14 0255	Earth	1959 Apr 14	S	-	BSC	US	GCR	33-KS-2800	-	     195 	 	     22 	 	      23 	 	   1.5 	 	  0.7 	 	    1.5 	 	Cyl	1959 Apr 14	   -6100	?	      66	?	 33.00 	?	ATM	-	-
F00056	NSO	1959-F01	P   F       	Vanguard	Magnetometer satellite	1959 Apr 14	F00055	1959 Apr 14 0255	Earth	1959 Apr 14	S	-	BSC	US	NRL	NRL 13"	-	      10 	 	     10 	 	      10 	 	   0.8 	 	  0.3 	 	    1.5 	 	Sphere + Ant + Ant	1959 Apr 14	   -6100	?	      66	?	 33.00 	?	ATM	-	:UA,:VA,Vanguard Group III FU1:VB
F00057	NSO	1959-F01	C   F       	Balloon container	Balloon container	1959 Apr 14	F00055	1959 Apr 14 0255	Earth	1959 Apr 14	AS	-	LARCN	US	LARCN	Sphere container	-	       1 	 	      1 	 	       0 	 	   0.1 	 	  0.3 	 	    0.3 	 	Disk	1959 Apr 14	   -6100	?	      66	?	 33.00 	?	ATM	-	-
F00058	NSO	1959-F01	P   F       	Vanguard 30-inch Sphere	30-inch sphere	1959 Apr 14	F00057	1959 Apr 14 0255	Earth	1959 Apr 14	AS	-	LARCN	US	LARCN	LaRC 30" sphere	-	       1 	 	      1 	 	       1 	 	   0.1 	 	  0.3 	 	    0.8 	 	Sphere	1959 Apr 14	   -6100	?	      66	?	 33.00 	?	ATM	-	-
F00059	NSO	1959-F02	R2--F--*    	Agena A 1020	Agena A	1959 Jun  3	R02920	1959 Jun  3 2017	Earth	1959 Jun  3	S	-	AFBMD	US	LMSD	Agena A	-	     488 	 	    488 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1959 Jun  3	    -340	?	     250	?	 90.00 	 	SO	-	-
F00060	NSO	1959-F02	P   F       	Discoverer 3	CORONA BIO 2	1959 Jun  3	F00059	1959 Jun  3 2017	Earth	1959 Jun  3	AS	-	ARPA/CIA	US	LMSD	CORONA	-	     165 	 	    165 	 	     741 	 	   1.3 	 	  1.5 	 	    1.3 	 	Frust	1959 Jun  3	    -340	?	     250	?	 90.00 	 	SO	-	:C,:CC,FTV 1020:UF,CORONA 3:CA
F00061	NSO	1959-F02	C  MF       	Star 10	Star 10	1959 Jun  3	F00062	1959 Jun  3 2017	Earth	1959 Jun  3	AS	-	ARPA/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1959 Jun  3	    -340	?	     250	?	 90.00 	 	SO	-	-
F00062	NSO	1959-F02	PX-RF--     	SRV	SRV	1959 Jun  3	F00060	1959 Jun  3 2017	Earth	1959 Jun  3	AS	-	ARPA/CIA	US	GEMSD	SRV Mk I	Star 10	      71 	 	     71 	 	      88 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1959 Jun  3	    -340	?	     250	?	 90.00 	 	SO	-	-
F00063	NSO	1959-F06	R3  F       	Vostok 8K72 No. 7 Stage 3	8K72E No. I1-7	1959 Jun 18	L06002	1959 Jun 18 0810	Earth	1959 Jun 18	S	-	OKB1	SU	OKB1	Blok-E	-	    1500 	?	   1500 	?	    1500 	?	   5.0 	 	  2.7 	 	    5.0 	 	Cyl	1959 Jun 18	   -6378	?	      80	?	 65.00 	?	ATM	-	-
F00064	NSO	1959-F06	P   F       	AMS	E-1 No. 5	1959 Jun 18	F00063	1959 Jun 18 0810	Earth	1959 Jun 18	AS	-	NII88	SU	OKB1	E-1	-	     170 	 	    170 	 	     170 	 	   0.8 	 	  0.8 	 	    2.0 	 	Sphere + Ant	1959 Jun 18	   -6378	?	      80	?	 65.00 	?	ATM	-	-
F00065	NSO	1959-F03	R3  F       	Vanguard SLV-6 Stage 3	GRC 33-KS-2800	1959 Jun 22	R02965	1959 Jun 22 2019	Earth	1959 Jun 22	S	-	GSFC	US	GCR	33-KS-2800	-	     195 	 	     22 	 	      22 	 	   1.5 	 	  0.7 	 	    1.5 	 	Cyl	1959 Jun 22	   -6200	?	     140	?	 50.00 	 	SO	-	-
F00066	NSO	1959-F03	P   F       	Vanguard	Radiation Balance sat	1959 Jun 22	F00065	1959 Jun 22 2019	Earth	1959 Jun 22	AS	-	GSFC	US	NRL	NRL 20"	-	      10 	 	     10 	 	      10 	 	   0.5 	 	  0.5 	 	    0.5 	 	Sphere	1959 Jun 22	   -6200	?	     140	?	 50.00 	 	SO	-	:UA,:VA,Vanguard Group IV:VB
F00067	NSO	1959-U01	R2--F--*    	Agena A 1023	Agena A	1959 Jun 25	R02971	1959 Jun 25 2254	Earth	1959 Jun 25 2345?	S	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	     590 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1959 Jun 25	      80	?	     170	?	 86.30 	 	LLEO/P	-	-
F00068	NNA S	1959-U01	P   F       	Discoverer 4	CORONA C-1	1959 Jun 25	F00067	1959 Jun 25 2254	Earth	1959 Jun 25 2345?	AS	-	ARPA/CIA	US	LMSD	CORONA	-	     182 	 	    182 	 	     182 	 	   1.3 	 	  1.5 	 	    1.3 	 	Frust	1959 Jun 25	      80	?	     170	?	 86.30 	 	LLEO/P	-	:C,:CC,NRO Mission 9001:CM,CORONA 4:CA
F00069	NSO	1959-U01	C  MF       	Star 10	Star 10	1959 Jun 25	F00070	1959 Jun 25 2254	Earth	1959 Jun 25 2345?	AS	-	ARPA/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1959 Jun 25	      80	?	     170	?	 86.30 	 	LLEO/P	-	-
F00070	NSO	1959-U01	PX-RF--     	SRV 102	SRV	1959 Jun 25	F00068	1959 Jun 25 2254	Earth	1959 Jun 25 2345?	AS	-	ARPA/CIA	US	GEMSD	SRV Mk IIA	Star 10	      71 	 	     71 	 	      88 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1959 Jun 25	      80	?	     170	?	 86.30 	 	LLEO/P	-	-
